u,y(alpha=0.1),y(alpha=0.2),y(alpha=0.30000000000000004),y(alpha=0.4),y(alpha=0.5),y(alpha=0.6),y(alpha=0.7000000000000001),y(alpha=0.8),y(alpha=0.9),y(alpha=1.0)
-2.9000000000000252,-1.9999999980883247,-1.997378363701504,-1.9713440324328153,-1.9204547116549895,-1.8563949733868368,-1.7865602497652304,-1.7148127227900645,-1.6431639220051073,-1.5726790162502962,-1.503924812955486
-2.8000000000000256,-1.9999998902890064,-1.9948170935477463,-1.9607346488966066,-1.903253653109593,-1.8349256253919446,-1.762458116502227,-1.68914341513211,-1.6166287872464071,-1.5457513508031973,-1.4769319933053908
-2.700000000000026,-1.9999970689454116,-1.990358270182441,-1.9471100823333223,-1.883173068413797,-1.8109290985984852,-1.736161709627174,-1.661557954303496,-1.5884052748724673,-1.517322926577783,-1.4485949413310641
-2.6000000000000263,-1.9999584398026116,-1.9830544193422788,-1.9299344017011757,-1.8599246553460214,-1.7842273734427092,-1.7075473221737303,-1.6319628501875885,-1.5584185712839842,-1.487331503785665,-1.4188604787758443
-2.5000000000000266,-1.9996505335281043,-1.9717558543892082,-1.9086713294821047,-1.8332309404610392,-1.7546493275897852,-1.6764948656519234,-1.6002662471564104,-1.5265943412078773,-1.4557146474089069,-1.3876748415114948
-2.400000000000027,-1.9980866453096788,-1.9551929726872954,-1.8828110302831371,-1.8028337690244518,-1.7220341865367348,-1.6428895442799494,-1.566378829521902,-1.4928592479901606,-1.4224100339862265,-1.354983859504257
-2.3000000000000274,-1.9926239508320909,-1.932106541689361,-1.8518987578438275,-1.768502947807188,-1.6862350637895815,-1.6066236065979038,-1.5302147879541872,-1.4571415191998907,-1.3873557909971614,-1.3207331596732526
-2.2000000000000277,-1.9786294085248364,-1.90140462084949,-1.815562572512873,-1.730044553691389,-1.6471224699248448,-1.5675981386722553,-1.4916928360086268,-1.4193715549699095,-1.350490869084072,-1.2848683927168323
-2.100000000000028,-1.9508490178749236,-1.8623114126126405,-1.7735370739509468,-1.6873083849315051,-1.6045876558949992,-1.525724856890632,-1.4507372631164475,-1.3794825752875322,-1.3117554468712171,-1.2473354848373264
-2.0000000000000284,-1.9059667566074627,-1.8144707855116744,-1.725680330585679,-1.6401940437229414,-1.558545648770162,-1.4809278531207366,-1.407279007630628,-1.3374113011376614,-1.2710913675845457,-1.2080809151095235
-1.9000000000000288,-1.8441708125966176,-1.7579787521506933,-1.6719819498540187,-1.588655203800648,-1.5089378393351511,-1.4331452412226287,-1.3612567309002466,-1.293098663017203,-1.2284426060459328,-1.1670520190093652
-1.8000000000000291,-1.768488527171487,-1.69334085445781,-1.612561403526065,-1.532701732857201,-1.4557339915917544,-1.3823306519935308,-1.3126178710081642,-1.2464905289160213,-1.183755763914374,-1.1241973183436902
-1.7000000000000295,-1.6829363867920404,-1.6213723947506686,-1.5476570622118517,-1.4723994960761009,-1.3989335644338823,-1.3284545239559686,-1.2613196528928396,-1.1975384424367919,-1.136980590280117,-1.0794668774966754
-1.6000000000000298,-1.5910737614532744,-1.5430721357600126,-1.4776076122518949,-1.4078678462728842,-1.3385662647853667,-1.271505140230936,-1.2073300302304273,-1.146200360352025,-1.08807052389513,-1.0328126855320936
-1.5000000000000302,-1.4954696972508583,-1.4594999191707427,-1.4028283753669828,-1.339274985920452,-1.2746917875516415,-1.2114893671765246,-1.150628533814845,-1.0924413776256707,-1.0369832524575653,-0.9841890632618862
-1.4000000000000306,-1.3977645759235306,-1.3716790421796303,-1.3237853895740956,-1.2668315442211098,-1.2073987382176807,-1.148433058448787,-1.0912070013592157,-1.036234426818175,-0.9836812834756965,-0.9335530939113328
-1.300000000000031,-1.2989270331437117,-1.2805317803041167,-1.240969944379577,-1.1907828296488816,-1.1368027756167187,-1.0823810983914215,-1.0290701647401996,-0.9775609379092067,-0.9281325203387634,-0.880865075481394
-1.2000000000000313,-1.1994993309448128,-1.1868464633352755,-1.1548757178248952,-1.1114002833053158,-1.0630440518681237,-1.013397070729666,-0.9642360727656754,-0.9164114439727911,-0.8703108363427146,-0.8260889923335375
-1.1000000000000316,-1.099773186040252,-1.0912690831542013,-1.0659799211243337,-1.0289726678979485,-0.9862840605036496,-0.9415625518108874,-0.8967363305659237,-0.8527861178827747,-0.8101966385857131,-0.7691930029075764
-1.000000000000032,-0.9999004322306453,-0.9943110119219822,-0.9747290985622552,-0.9437974863289456,-0.90670202972075,-0.8669760413567049,-0.8266161406344734,-0.7866952253625334,-0.7477774128922201,-0.710149939837029
-0.9000000000000323,-0.899957745386458,-0.8963654460064037,-0.881529588391698,-0.856173044263953,-0.8244910137612922,-0.7897515570630356,-0.7539341352662636,-0.7181594802605389,-0.6830482402781146,-0.6489378180600864
-0.8000000000000327,-0.7999827128639279,-0.7977271720417471,-0.7867421926959621,-0.7663914675642101,-0.7398538409126423,-0.7100169316055349,-0.6787619954923558,-0.6472102889565345,-0.6160122749661143,-0.585540345850819
-0.700000000000033,-0.6999932041389356,-0.6986122341907608,-0.690680340893314,-0.6747328734528515,-0.6529990719325278,-0.6279118609554231,-0.6011838573792039,-0.5738898722870434,-0.5466811736336559,-0.5199474330306595
-0.6000000000000334,-0.5999974428973762,-0.5991756497219312,-0.5936109345700653,-0.5814607870481239,-0.5641371091090002,-0.5435857608017103,-0.5212955124970025,-0.4982512553078646,-0.47507546545493096,-0.45215568998296085
-0.5000000000000338,-0.4999990835429817,-0.4995263922604112,-0.49575708471216995,-0.48681880216211226,-0.4734765756687853,-0.4571954929162092,-0.4392034151946618,-0.4203581175465201,-0.4012248526114228,-0.38216891050417545
-0.4000000000000341,-0.39999968933005414,-0.3997395132664052,-0.397302048750813,-0.39102841267549104,-0.3812210602099464,-0.36890302531032315,-0.355023514773237,-0.3402844990770464,-0.32516843131127393,-0.30999853100641195
-0.30000000000003446,-0.29999990166776835,-0.29986562047470855,-0.29839380463485354,-0.29428789021461044,-0.28756629369889164,-0.2788730890629192,-0.268879935463747,-0.25811436068867755,-0.24695482398903845,-0.23566405816166203
-0.20000000000003482,-0.19999997191963592,-0.19993808515771416,-0.1991498343074971,-0.19677205417200883,-0.19269779958177424,-0.1872708909976628,-0.18090353105991142,-0.1739409995138559,-0.16664221425543246,-0.15919345677220464
-0.10000000000003517,-0.09999999371194335,-0.09997838900054656,-0.09966181245995531,-0.09863276828292356,-0.096789032568257,-0.0942599353769411,-0.09123034394890928,-0.08786632460803845,-0.08429827732069461,-0.08062348948869547
-3.552713678800501e-14,-3.552713678800501e-14,-3.530509218307998e-14,-3.530509218307998e-14,-3.4638958368304884e-14,-3.4638958368304884e-14,-3.352873534367973e-14,-3.2862601528904634e-14,-3.1308289294429414e-14,-2.9976021664879227e-14,-2.90878432451791e-14
0.09999999999996412,0.09999999832815587,0.099988881871371,0.09978277692819049,0.09901670937024187,0.09752365776638894,0.09535469684623288,0.09264592874708577,0.08954153448432711,0.08616661401592052,0.08262186849241804
0.19999999999996376,0.19999999792327516,0.19998342570598515,0.1996476209622593,0.19832649819104087,0.1956511645323198,0.19165711161510823,0.18656556239961142,0.18063615192458204,0.17410695623781747,0.16717752731239388
0.2999999999999634,0.29999999783520215,0.2999808898127534,0.29956654632235913,0.29785527571922343,0.29426672816077337,0.28876875537025737,0.28161832324668357,0.2731572219660914,0.26371834365846025,0.25359287604876646
0.39999999999996305,0.3999999978182911,0.3999797834920289,0.3995199374017633,0.39754374428625905,0.3932693329977559,0.3865608296383658,0.3776664911766068,0.36697487367601367,0.3548906663930602,0.3417843223623609
0.4999999999999627,0.499999997815487,0.4999793355564979,0.4994944520502216,0.49734542611557453,0.49257225580416053,0.4849151174810953,0.47457668198155,0.4619573214579151,0.4475071503223891,0.4316588931787917
0.5999999999999623,0.5999999978150966,0.5999791696869891,0.5994813280209972,0.5972247510650883,0.5921023546846029,0.5837246356264157,0.5722212306173223,0.557972238497218,0.5414452312409244,0.5231144413309132
0.699999999999962,0.6999999978150522,0.6999791145935833,0.699475045931236,0.6971552468492035,0.6917991769828368,0.6828940585851799,0.6704794666054306,0.6548881640121906,0.6365775364940679,0.6160399502661731
0.7999999999999616,0.799999997815048,0.799979098608293,0.7994723005080007,0.797117861321775,0.7916139272473873,0.7823399290971549,0.769238874315088,0.7525759338952528,0.7327729705721133,0.7103159378189146
0.8999999999999613,0.8999999978150475,0.8999790947051749,0.899471232598669,0.8970994370503867,0.8915083307352583,0.8819906708818501,0.8683961367950407,0.8509101296852453,0.8298979032310672,0.8058149582998083
0.9999999999999609,0.9999999978150471,0.9999790939461143,0.9994708765618583,0.9970913513959717,0.9914534219962643,0.9817864193542879,0.9678580682373766,0.9497705492309719,0.9278174635373562,0.9024022003159209
1.0999999999999606,1.0999999978150468,1.0999790938381975,1.099470780679345,1.097088330270807,1.0914282822430168,1.0816786833750838,1.0675424474351498,1.0490437159793125,1.0263969529713457,0.9999361758537925
1.1999999999999602,1.1999999978150464,1.1999790938284833,1.199470761820078,1.1970874403019782,1.1914187437428754,1.1816298454538174,1.1673787737605852,1.1486244672311514,1.125503410190246,1.0982694942874627
1.2999999999999599,1.299999997815046,1.2999790938280595,1.299470759581204,1.2970872619100156,1.2914160745658945,1.2816124971279403,1.267308980868268,1.2484177067477653,1.225007401324858,1.1972497131697453
1.3999999999999595,1.3999999978150457,1.399979093828054,1.3994707594763165,1.3970872444919782,1.3914156528171322,1.3816085848358999,1.3672881692289631,1.3483405090558478,1.324785208888943,1.2967202559849575
1.4999999999999591,1.4999999978150453,1.4999790938280537,1.4994707594757868,1.49708724419039,1.491415636051823,1.4816082885408832,1.4672854870268952,1.4483250638113965,1.4247218924150287,1.396521385539684
1.5999999999999588,1.599999997815045,1.5999790938280534,1.5994707594752984,1.5970872439777855,1.591415628961237,1.5816082293394274,1.567285278710897,1.5483244101577105,1.524717317877692,1.4964912203956564
